Generation,pm,pm0,deviation,best_fitness
0,0.01,0.01,0.0,4650
1,0.009,0.01,0.0981478089409,4185
2,0.008,0.01,0.0926927621381,4185
3,0.007,0.01,0.0827578195718,4185
4,0.006,0.01,0.0633455907861,4185
5,0.005,0.01,0.0461669057977,4135
6,0.004,0.01,0.0279439663177,4135
7,0.003,0.01,0.012242460436,4135
8,0.002,0.01,0.011699470596,4135
9,0.001,0.01,0.0114513854025,4135
10,0.001,0.01,0.0109548411787,4135
11,0.001,0.01,0.0100906120202,4135
12,0.002,0.01,0.00857397692507,4135
13,0.001,0.01,0.160026208531,3487
14,0.001,0.01,0.153034332835,3487
15,0.001,0.01,0.149970381819,3487
16,0.001,0.01,0.144548489896,3487
17,0.001,0.01,0.133494524391,3487
18,0.001,0.01,0.111816382619,3487
19,0.001,0.01,0.0657686042524,3487
20,0.002,0.01,0.0,3487
21,0.001,0.01,0.1029651268,3123
22,0.001,0.01,0.22927876961,2677
23,0.001,0.01,0.226242434403,2677
24,0.001,0.01,0.220097422272,2677
25,0.001,0.01,0.209214117758,2677
26,0.001,0.01,0.186977054956,2677
27,0.001,0.01,0.154004651868,2677
28,0.001,0.01,0.0853710619194,2677
29,0.002,0.01,0.0,2677
30,0.003,0.01,0.0,2677
31,0.004,0.01,0.0,2677
32,0.005,0.01,0.0,2677
33,0.006,0.01,0.0,2677
34,0.007,0.01,0.0,2677
35,0.006,0.01,0.0168455352605,2631
36,0.005,0.01,0.0166765086223,2631
37,0.004,0.01,0.0163382809287,2631
38,0.003,0.01,0.0154916928604,2631
39,0.002,0.01,0.0141341167301,2631
40,0.001,0.01,0.0110658387334,2631
41,0.002,0.01,0.0071173571434,2631
42,0.003,0.01,0.0,2631
43,0.004,0.01,0.0,2631
44,0.005,0.01,0.0,2631
45,0.006,0.01,0.0,2631
46,0.007,0.01,0.0,2631
47,0.008,0.01,0.0,2631
48,0.009,0.01,0.0,2631
49,0.01,0.01,0.0,2631
50,0.011,0.01,0.0,2631
51,0.012,0.01,0.0,2631
52,0.013,0.01,0.0,2631
53,0.014,0.01,0.0,2631
54,0.015,0.01,0.0,2631
55,0.016,0.01,0.0,2631
56,0.017,0.01,0.0,2631
57,0.018,0.01,0.0,2631
58,0.019,0.01,0.0,2631
59,0.02,0.01,0.0,2631
60,0.021,0.01,0.0,2631
61,0.022,0.01,0.0,2631
62,0.023,0.01,0.0,2631
63,0.024,0.01,0.0,2631
64,0.025,0.01,0.0,2631
65,0.026,0.01,0.0,2631
66,0.027,0.01,0.0,2631
67,0.028,0.01,0.0,2631
68,0.029,0.01,0.0,2631
69,0.03,0.01,0.0,2631
70,0.031,0.01,0.0,2631
71,0.032,0.01,0.0,2631
72,0.033,0.01,0.0,2631
73,0.034,0.01,0.0,2631
74,0.035,0.01,0.0,2631
75,0.036,0.01,0.0,2631
76,0.037,0.01,0.0,2631
77,0.038,0.01,0.0,2631
78,0.039,0.01,0.0,2631
79,0.04,0.01,0.0,2631
80,0.041,0.01,0.0,2631
81,0.042,0.01,0.0,2631
82,0.043,0.01,0.0,2631
83,0.044,0.01,0.000535630847778,2631
84,0.045,0.01,9.12117480731e-05,2631
85,0.046,0.01,0.00175290823412,2631
86,0.047,0.01,9.12117480731e-05,2631
87,0.048,0.01,0.00533813210743,2631
88,0.049,0.01,0.00463444623097,2631
89,0.05,0.01,0.000550817679348,2631
90,0.051,0.01,0.000159609640422,2631
91,0.052,0.01,0.000114012085281,2631
92,0.053,0.01,0.00182486598048,2631
93,0.054,0.01,0.00591689147832,2631
94,0.055,0.01,0.00947977923183,2631
95,0.054,0.01,0.0105191107835,2631
96,0.053,0.01,0.0171136539388,2631
97,0.052,0.01,0.0219439931897,2631
98,0.051,0.01,0.0266190643556,2631
99,0.05,0.01,0.0285562374,2631
100,0.049,0.01,0.025988449578,2631
101,0.048,0.01,0.0244535493799,2631
102,0.047,0.01,0.0149461608734,2631
103,0.046,0.01,0.013131983751,2631
104,0.045,0.01,0.0222104905917,2593
105,0.044,0.01,0.0203782480902,2593
106,0.043,0.01,0.0239807882682,2593
107,0.042,0.01,0.0635701247567,2483
108,0.041,0.01,0.0610275376459,2483
109,0.04,0.01,0.0583354191792,2483
110,0.039,0.01,0.05673995958,2483
111,0.038,0.01,0.0561304007359,2483
112,0.037,0.01,0.0796015162194,2416
113,0.036,0.01,0.0790050509864,2416
114,0.035,0.01,0.0772145323433,2416
115,0.034,0.01,0.0743791520761,2416
116,0.033,0.01,0.0712978765933,2416
117,0.032,0.01,0.0666481232519,2416
118,0.031,0.01,0.0612006994366,2416
119,0.03,0.01,0.0587538617973,2416
120,0.029,0.01,0.0567179563264,2416
121,0.028,0.01,0.0510232137947,2416
122,0.027,0.01,0.0482493460654,2416
123,0.026,0.01,0.0431872636185,2416
124,0.025,0.01,0.0677588923773,2325
125,0.024,0.01,0.0578347624528,2325
126,0.023,0.01,0.0546205673903,2325
127,0.022,0.01,0.0508460737687,2325
128,0.021,0.01,0.0462634035885,2325
129,0.02,0.01,0.0404774089176,2325
130,0.019,0.01,0.0334087205242,2325
131,0.018,0.01,0.0314195015872,2325
132,0.017,0.01,0.0265490430872,2325
133,0.016,0.01,0.0205990142803,2325
134,0.015,0.01,0.0115594403513,2325
135,0.016,0.01,0.000932463034501,2325
136,0.017,0.01,0.0,2325
137,0.018,0.01,0.000425808283046,2324
138,0.019,0.01,0.000421509002228,2324
139,0.02,0.01,0.000421509002228,2324
140,0.021,0.01,0.000425808283046,2324
141,0.022,0.01,0.000425808283046,2324
142,0.023,0.01,0.000421509002228,2324
143,0.024,0.01,0.00040861093787,2324
144,0.025,0.01,0.000395712540647,2324
145,0.026,0.01,0.000378514159871,2324
146,0.027,0.01,0.000348415569444,2324
147,0.028,0.01,0.000296813768718,2324
148,0.029,0.01,0.000245206640368,2324
149,0.03,0.01,0.000210798927937,2324
150,0.029,0.01,0.0153464792612,2288
151,0.028,0.01,0.0149607146701,2288
152,0.027,0.01,0.0147358992688,2288
153,0.026,0.01,0.0144218343471,2288
154,0.025,0.01,0.0139631098087,2288
155,0.024,0.01,0.0135039580567,2288
156,0.023,0.01,0.013044378494,2288
157,0.022,0.01,0.0122774602407,2288
158,0.021,0.01,0.0110479088504,2288
159,0.022,0.01,0.00966099934208,2288
160,0.023,0.01,0.00734081877028,2288
161,0.024,0.01,0.00481066174871,2288
162,0.025,0.01,0.000742455343495,2288
163,0.026,0.01,0.0,2288
164,0.027,0.01,0.0,2288
165,0.028,0.01,0.0,2288
166,0.029,0.01,0.0,2288
167,0.03,0.01,0.0,2288
168,0.031,0.01,0.0,2288
169,0.032,0.01,0.0,2288
170,0.033,0.01,0.0,2288
171,0.034,0.01,0.0,2288
172,0.035,0.01,0.0,2288
173,0.036,0.01,0.0,2288
174,0.037,0.01,0.0,2288
175,0.038,0.01,0.000751183550827,2288
176,0.039,0.01,0.0,2288
177,0.04,0.01,0.000393201974748,2288
178,0.041,0.01,0.0,2288
179,0.042,0.01,0.00144023043687,2288
180,0.043,0.01,0.000113623451881,2288
181,0.042,0.01,0.0132231547532,2288
182,0.043,0.01,0.00363186636125,2288
183,0.044,0.01,0.0,2288
184,0.045,0.01,0.0,2288
185,0.044,0.01,0.0123286252029,2288
186,0.045,0.01,0.00976815244723,2288
187,0.044,0.01,0.0135124647529,2288
188,0.045,0.01,0.00950665812395,2288
189,0.046,0.01,0.00608598572552,2288
190,0.047,0.01,0.00611620795107,2288
191,0.048,0.01,0.00374032805159,2288
192,0.047,0.01,0.011889286686,2288
193,0.048,0.01,0.00897896245988,2288
194,0.049,0.01,0.00775839263798,2288
195,0.048,0.01,0.0156768942197,2288
196,0.047,0.01,0.0171779088398,2288
197,0.046,0.01,0.0212518394305,2288
198,0.045,0.01,0.017439588424,2288
199,0.044,0.01,0.0232407233483,2288
200,0.043,0.01,0.0264398006053,2287
