Generation,Min,Max,Avg,Std
0,4650,4650,4650.0,0.0
1,3487,4704,4459.29,224.180180735
2,3487,4708,4393.3,256.044799584
3,3411,4634,4264.92,290.620328528
4,3391,4574,4262.7,249.897574978
5,3197,4524,4203.44,283.777702159
6,3197,4516,4122.05,284.134922247
7,3197,4483,4128.53,277.557763758
8,3197,4405,4087.21,275.665853027
9,3141,4479,4123.87,285.85433371
10,3141,4414,4054.15,283.878739762
11,3111,4436,4062.14,288.812127253
12,2913,4471,4062.48,308.223108226
13,2913,4445,4081.73,312.956119008
14,2913,4374,4030.13,291.344450762
15,2913,4327,3961.33,274.971846309
16,2913,4372,3947.61,299.39271514
17,2913,4368,4026.76,293.84391239
18,2913,4297,3984.64,281.493259155
19,2913,4320,3984.06,289.642511111
20,2913,4355,3968.46,290.845073827
21,2913,4348,3974.64,286.304758161
22,2913,4359,3976.94,286.490989863
23,2913,4315,3971.86,273.89790253
24,2913,4331,3924.53,304.185033235
25,2913,4370,4006.93,283.519235091
26,2913,4270,3928.21,264.819675449
27,2913,4239,3937.31,246.303610582
28,2913,4313,3961.48,254.111980406
29,2913,4248,3912.18,267.047431946
30,2782,4305,3926.41,308.908802697
31,2782,4345,3968.36,279.537479462
32,2782,4339,3961.9,296.126627979
33,2782,4259,3941.8,256.257446307
34,2782,4335,3942.49,301.910398608
35,2782,4312,3901.51,284.427139842
36,2782,4281,3901.52,298.805111311
37,2782,4285,3969.63,273.311035861
38,2782,4353,3966.76,307.856359002
39,2782,4345,3904.46,321.703182729
40,2782,4341,3989.05,285.360462283
41,2782,4272,3927.75,284.311515558
42,2782,4372,3970.06,297.386284862
43,2782,4366,3937.52,307.265899392
44,2782,4364,3986.52,294.826005185
45,2782,4334,3997.7,283.646190907
46,2767,4240,3891.93,312.305834791
47,2657,4216,3838.48,328.724332024
48,2657,4297,3912.94,306.573464757
49,2657,4252,3908.29,278.243236915
50,2657,4213,3868.19,266.704190352
51,2657,4293,3891.43,280.211761734
52,2657,4157,3828.73,284.055865006
53,2657,4185,3842.62,282.385465474
54,2657,4155,3830.1,327.178001162
55,2657,4218,3831.75,299.652774647
56,2657,4248,3869.23,276.927217766
57,2657,4212,3841.33,268.358385994
58,2657,4169,3824.57,267.589247078
59,2657,4140,3802.58,273.726184057
60,2657,4089,3750.77,262.368807235
61,2657,4119,3752.93,254.55309442
62,2657,4072,3744.78,257.538604736
63,2657,4025,3694.01,251.200531388
64,2657,4132,3777.28,309.09156827
65,2657,4175,3787.04,266.416129278
66,2657,4063,3727.23,250.159983356
67,2657,4203,3775.97,285.360181936
68,2657,4056,3699.25,274.114603144
69,2657,3997,3666.21,260.84339878
70,2657,4002,3641.25,303.855606823
71,2657,3998,3627.13,289.292192823
72,2657,4039,3616.26,297.570859739
73,2657,4049,3609.49,290.091504024
74,2657,3977,3644.24,267.60358591
75,2657,3935,3617.11,283.924797804
76,2657,3997,3606.9,298.191129135
77,2657,3978,3575.43,275.858229399
78,2636,3959,3583.6,310.252096909
79,2636,3933,3567.67,265.582114791
80,2636,3908,3548.54,246.99966957
81,2636,3917,3532.34,285.651522529
82,2636,3969,3528.72,319.202892319
83,2636,3945,3555.94,311.967746973
84,2636,3841,3480.54,287.136064603
85,2636,3832,3475.28,278.471226231
86,2477,3834,3457.96,294.739875727
87,2477,3803,3456.99,272.403388304
88,2477,3792,3423.21,309.085594859
89,2477,3775,3364.95,309.509888715
90,2477,3756,3358.5,270.429979361
91,2477,3645,3355.84,223.992456583
92,2477,3700,3361.92,251.236404426
93,2477,3677,3329.46,263.384591099
94,2477,3701,3309.14,286.406859717
95,2430,3709,3294.84,327.132652178
96,2430,3693,3280.54,308.793004448
97,2430,3601,3246.51,277.025852821
98,2430,3734,3320.94,277.398113792
99,2430,3663,3300.06,275.718265663
100,2430,3628,3325.88,266.780516606
101,2430,3626,3284.72,260.000741258
102,2430,3720,3351.27,246.226833705
103,2430,3701,3320.53,271.90043688
104,2430,3660,3343.06,251.926108294
105,2422,3641,3286.48,274.985710556
106,2395,3606,3259.33,275.259145299
107,2395,3599,3257.88,270.217954678
108,2395,3615,3243.95,267.790751079
109,2395,3559,3242.71,218.848515248
