Generation,pm,pm0
0,0.2,0.2
1,0.199,0.2
2,0.198,0.2
3,0.197,0.2
4,0.196,0.2
5,0.195,0.2
6,0.194,0.2
7,0.193,0.2
8,0.192,0.2
9,0.191,0.2
10,0.19,0.2
11,0.189,0.2
12,0.188,0.2
13,0.187,0.2
14,0.186,0.2
15,0.185,0.2
16,0.184,0.2
17,0.183,0.2
18,0.182,0.2
19,0.181,0.2
20,0.18,0.2
21,0.179,0.2
22,0.178,0.2
23,0.177,0.2
24,0.176,0.2
25,0.175,0.2
26,0.174,0.2
27,0.173,0.2
28,0.172,0.2
29,0.171,0.2
30,0.17,0.2
31,0.169,0.2
32,0.168,0.2
33,0.167,0.2
34,0.166,0.2
35,0.165,0.2
36,0.164,0.2
37,0.163,0.2
38,0.162,0.2
39,0.161,0.2
40,0.16,0.2
41,0.159,0.2
42,0.158,0.2
43,0.157,0.2
44,0.156,0.2
45,0.155,0.2
46,0.154,0.2
47,0.153,0.2
48,0.152,0.2
49,0.151,0.2
50,0.15,0.2
51,0.149,0.2
52,0.148,0.2
53,0.147,0.2
54,0.146,0.2
55,0.145,0.2
56,0.144,0.2
57,0.143,0.2
58,0.142,0.2
59,0.141,0.2
60,0.14,0.2
61,0.139,0.2
62,0.138,0.2
63,0.137,0.2
64,0.136,0.2
65,0.135,0.2
66,0.134,0.2
67,0.133,0.2
68,0.132,0.2
69,0.131,0.2
70,0.13,0.2
71,0.129,0.2
72,0.128,0.2
73,0.127,0.2
74,0.126,0.2
75,0.125,0.2
76,0.124,0.2
77,0.123,0.2
78,0.122,0.2
79,0.121,0.2
80,0.12,0.2
81,0.119,0.2
82,0.118,0.2
83,0.117,0.2
84,0.116,0.2
85,0.115,0.2
86,0.114,0.2
87,0.113,0.2
88,0.112,0.2
89,0.111,0.2
90,0.11,0.2
91,0.109,0.2
92,0.108,0.2
93,0.107,0.2
94,0.106,0.2
95,0.105,0.2
96,0.104,0.2
97,0.103,0.2
98,0.102,0.2
99,0.101,0.2
100,0.1,0.2
101,0.099,0.2
102,0.098,0.2
103,0.097,0.2
104,0.096,0.2
105,0.095,0.2
106,0.094,0.2
107,0.093,0.2
108,0.092,0.2
109,0.091,0.2
110,0.09,0.2
111,0.089,0.2
112,0.088,0.2
113,0.087,0.2
114,0.086,0.2
115,0.085,0.2
116,0.084,0.2
117,0.083,0.2
118,0.082,0.2
119,0.081,0.2
120,0.08,0.2
121,0.081,0.2
122,0.082,0.2
123,0.083,0.2
124,0.084,0.2
125,0.085,0.2
126,0.086,0.2
127,0.087,0.2
128,0.088,0.2
129,0.089,0.2
130,0.09,0.2
131,0.091,0.2
132,0.092,0.2
133,0.093,0.2
134,0.092,0.2
135,0.091,0.2
136,0.09,0.2
137,0.089,0.2
138,0.088,0.2
139,0.087,0.2
140,0.086,0.2
141,0.085,0.2
142,0.084,0.2
143,0.083,0.2
144,0.082,0.2
145,0.081,0.2
146,0.08,0.2
147,0.079,0.2
148,0.08,0.2
149,0.079,0.2
150,0.08,0.2
151,0.081,0.2
152,0.08,0.2
153,0.079,0.2
154,0.078,0.2
155,0.077,0.2
156,0.078,0.2
157,0.079,0.2
158,0.08,0.2
159,0.079,0.2
160,0.078,0.2
161,0.079,0.2
162,0.08,0.2
163,0.081,0.2
164,0.082,0.2
165,0.083,0.2
166,0.084,0.2
167,0.085,0.2
168,0.086,0.2
169,0.087,0.2
170,0.086,0.2
171,0.085,0.2
172,0.084,0.2
173,0.083,0.2
174,0.082,0.2
175,0.083,0.2
176,0.082,0.2
177,0.083,0.2
178,0.082,0.2
179,0.083,0.2
180,0.084,0.2
181,0.083,0.2
182,0.082,0.2
183,0.081,0.2
184,0.082,0.2
185,0.083,0.2
186,0.084,0.2
187,0.083,0.2
188,0.084,0.2
189,0.083,0.2
190,0.082,0.2
191,0.083,0.2
192,0.084,0.2
193,0.083,0.2
194,0.082,0.2
195,0.081,0.2
196,0.08,0.2
197,0.081,0.2
198,0.082,0.2
199,0.083,0.2
200,0.084,0.2
