Generation,pm,pm0,deviation,best_fitness
0,0.3,0.3,0.0,0
1,0.299,0.3,0.431024613623,25
2,0.298,0.3,0.327580484567,40
3,0.299,0.3,0.20822622108,47
4,0.3,0.3,0.198136232527,54
5,0.301,0.3,0.190956802584,59
6,0.302,0.3,0.129305477132,60
7,0.303,0.3,0.15648717022,64
8,0.304,0.3,0.131941987973,64
9,0.305,0.3,0.106118216384,64
10,0.306,0.3,0.122067324039,66
11,0.307,0.3,0.153653235245,69
12,0.308,0.3,0.152882205514,69
13,0.309,0.3,0.148851148851,69
14,0.31,0.3,0.156260323753,70
15,0.311,0.3,0.180971390552,71
16,0.312,0.3,0.165462902167,71
17,0.313,0.3,0.175691339626,71
18,0.314,0.3,0.177836761778,71
19,0.315,0.3,0.171037440211,71
20,0.316,0.3,0.154283856284,71
21,0.317,0.3,0.158427149617,71
22,0.318,0.3,0.154096228869,71
23,0.319,0.3,0.164125266437,71
24,0.32,0.3,0.172391017173,71
25,0.321,0.3,0.1776413999,71
26,0.322,0.3,0.1776413999,71
27,0.323,0.3,0.180578649817,71
28,0.324,0.3,0.185704742819,71
29,0.325,0.3,0.189080556021,71
30,0.326,0.3,0.262838861761,75
31,0.327,0.3,0.265395647039,75
32,0.328,0.3,0.260292387834,75
33,0.329,0.3,0.265401265401,76
34,0.33,0.3,0.267723102585,76
35,0.331,0.3,0.262248795881,76
36,0.332,0.3,0.279676713251,76
37,0.333,0.3,0.282267588999,76
38,0.334,0.3,0.269417070319,76
39,0.335,0.3,0.256198347107,76
40,0.336,0.3,0.254953764861,76
41,0.337,0.3,0.264980026631,76
42,0.338,0.3,0.254332398085,76
43,0.339,0.3,0.264769512398,76
44,0.34,0.3,0.268993154116,76
45,0.341,0.3,0.263928155663,76
46,0.342,0.3,0.264769512398,76
47,0.343,0.3,0.254125412541,76
48,0.344,0.3,0.255161023947,76
49,0.345,0.3,0.26582278481,76
50,0.346,0.3,0.26920507682,76
51,0.347,0.3,0.274312541918,76
52,0.348,0.3,0.288572397423,76
53,0.349,0.3,0.276667226608,76
54,0.35,0.3,0.272179444258,76
55,0.351,0.3,0.264769512398,76
56,0.352,0.3,0.266666666667,76
57,0.353,0.3,0.269841269841,76
58,0.354,0.3,0.274526245179,76
59,0.355,0.3,0.267300316825,76
60,0.356,0.3,0.270053475936,76
61,0.357,0.3,0.27688172043,76
62,0.358,0.3,0.28248396895,76
63,0.359,0.3,0.286173633441,76
64,0.36,0.3,0.280754971352,76
65,0.361,0.3,0.27047810097,76
66,0.362,0.3,0.275809971462,76
67,0.363,0.3,0.276452804837,76
68,0.364,0.3,0.268569520948,76
69,0.365,0.3,0.275595837529,76
70,0.366,0.3,0.273885350318,76
71,0.367,0.3,0.263087917567,76
72,0.368,0.3,0.257653483369,76
73,0.369,0.3,0.263087917567,76
74,0.37,0.3,0.27623845508,76
75,0.371,0.3,0.275595837529,76
76,0.372,0.3,0.271328203413,76
77,0.373,0.3,0.27752563456,76
78,0.374,0.3,0.284217641095,76
79,0.375,0.3,0.293837248893,76
80,0.376,0.3,0.298035866781,76
81,0.377,0.3,0.289446895148,76
82,0.378,0.3,0.29648584101,76
83,0.379,0.3,0.298479412267,76
84,0.38,0.3,0.296707046579,76
85,0.381,0.3,0.28813559322,76
86,0.382,0.3,0.29781420765,76
87,0.383,0.3,0.287699085056,76
88,0.384,0.3,0.274312541918,76
89,0.385,0.3,0.282916948008,76
90,0.386,0.3,0.270053475936,76
91,0.387,0.3,0.284434679736,76
92,0.388,0.3,0.273671861907,76
93,0.389,0.3,0.284651791751,76
94,0.39,0.3,0.296707046579,76
95,0.391,0.3,0.289446895148,76
96,0.392,0.3,0.29317679088,76
97,0.393,0.3,0.296928327645,76
98,0.394,0.3,0.288353958298,76
99,0.395,0.3,0.289665705074,76
100,0.396,0.3,0.299811869335,76
101,0.397,0.3,0.29471890971,76
102,0.398,0.3,0.295822676897,76
103,0.399,0.3,0.290541687893,76
104,0.4,0.3,0.281835048069,76
105,0.401,0.3,0.283133547189,76
106,0.402,0.3,0.291638341264,76
107,0.403,0.3,0.294277929155,76
108,0.404,0.3,0.298035866781,76
109,0.405,0.3,0.298035866781,76
110,0.406,0.3,0.272392432613,76
111,0.407,0.3,0.281186783547,76
112,0.408,0.3,0.287699085056,76
113,0.409,0.3,0.272605492297,76
114,0.41,0.3,0.270903010033,76
115,0.411,0.3,0.287699085056,76
116,0.412,0.3,0.29471890971,76
117,0.411,0.3,0.306066334422,76
118,0.412,0.3,0.298035866781,76
119,0.413,0.3,0.28573845373,76
120,0.414,0.3,0.292297228363,76
121,0.415,0.3,0.283133547189,76
