Generation,pm,pm0,deviation,best_fitness
0,0.05,0.05,0.0,0
1,0.049,0.05,0.966292134831,7
2,0.048,0.05,1.1186440678,15
3,0.047,0.05,0.857010213556,20
4,0.046,0.05,0.652892561983,24
5,0.045,0.05,0.323772752344,24
6,0.044,0.05,0.389532190829,30
7,0.043,0.05,0.24,31
8,0.042,0.05,0.2716354645,36
9,0.041,0.05,0.233786776337,39
10,0.04,0.05,0.21107266436,42
11,0.039,0.05,0.149425287356,43
12,0.038,0.05,0.128951329654,45
13,0.037,0.05,0.160862354892,49
14,0.036,0.05,0.123848055743,50
15,0.035,0.05,0.0989010989011,51
16,0.034,0.05,0.114781172585,54
17,0.033,0.05,0.110450128892,56
18,0.032,0.05,0.108986615679,58
19,0.031,0.05,0.112140871177,60
20,0.03,0.05,0.0931899641577,61
21,0.029,0.05,0.0606850982438,61
22,0.028,0.05,0.0825439783491,64
23,0.027,0.05,0.101792468344,67
24,0.026,0.05,0.0859150431172,68
25,0.025,0.05,0.0896637608966,70
26,0.024,0.05,0.0970592716745,72
27,0.023,0.05,0.0906917675183,73
28,0.022,0.05,0.0858400586941,74
29,0.021,0.05,0.105368934826,77
30,0.02,0.05,0.096429575485,78
31,0.019,0.05,0.0736407432897,78
32,0.018,0.05,0.0557661072009,78
33,0.017,0.05,0.0673782521681,80
34,0.016,0.05,0.0618772941793,81
35,0.015,0.05,0.0697254800876,83
36,0.014,0.05,0.0775862068966,85
37,0.013,0.05,0.0587942202292,85
38,0.012,0.05,0.0570304818092,86
39,0.011,0.05,0.055953392402,87
40,0.01,0.05,0.0554089709763,88
41,0.011,0.05,0.0401891252955,88
42,0.012,0.05,0.0495626822157,90
43,0.011,0.05,0.0740270239058,93
44,0.01,0.05,0.074654167143,94
45,0.009,0.05,0.0633484162896,94
46,0.008,0.05,0.0518070941032,94
47,0.007,0.05,0.0500718470211,95
48,0.008,0.05,0.0379110674096,95
49,0.009,0.05,0.0378378378378,96
50,0.01,0.05,0.0280573998715,96
51,0.011,0.05,0.0333439863641,97
52,0.012,0.05,0.0273247193391,97
