Generation,pm,pm0,deviation,best_fitness
0,0.5,0.5,0.0,0
1,0.5,0.499,0.312522170983,37
2,0.5,0.498,0.167678654834,50
3,0.5,0.497,0.214574898785,60
4,0.5,0.496,0.189591078067,64
5,0.5,0.495,0.159420289855,64
6,0.5,0.494,0.218419638058,68
7,0.5,0.493,0.201838105338,68
8,0.5,0.492,0.186322400558,68
9,0.5,0.491,0.184875413835,68
10,0.5,0.49,0.155480033985,68
11,0.5,0.489,0.17261596827,68
12,0.5,0.488,0.168384879725,68
13,0.5,0.487,0.189435018366,68
14,0.5,0.486,0.18363794604,68
15,0.5,0.485,0.187772925764,68
16,0.5,0.484,0.175453759723,68
17,0.5,0.483,0.178713815219,68
18,0.5,0.482,0.178918169209,68
19,0.5,0.481,0.181170748654,68
20,0.5,0.48,0.221455124801,69
21,0.5,0.479,0.218435458238,69
22,0.5,0.478,0.206715634837,69
23,0.5,0.477,0.216502115656,69
24,0.5,0.476,0.208829712684,69
25,0.5,0.475,0.221022827818,69
26,0.5,0.474,0.21329347635,69
27,0.5,0.473,0.217790328274,69
28,0.5,0.472,0.208617971624,69
29,0.5,0.471,0.201253481894,69
30,0.5,0.47,0.202300052274,69
31,0.5,0.469,0.199582753825,69
32,0.5,0.468,0.208194711959,69
33,0.5,0.467,0.208194711959,69
34,0.5,0.466,0.207771748643,69
35,0.5,0.465,0.224489795918,69
36,0.5,0.464,0.212653778559,69
37,0.5,0.463,0.201044386423,69
38,0.5,0.462,0.192533702039,69
39,0.5,0.461,0.221427325074,70
40,0.5,0.46,0.232394366197,70
41,0.5,0.459,0.233915036136,70
42,0.5,0.458,0.240391334731,71
43,0.5,0.457,0.23779637378,71
44,0.5,0.456,0.235427179398,71
45,0.5,0.455,0.232211037834,71
46,0.5,0.454,0.232638888889,71
47,0.5,0.453,0.236072423398,71
48,0.5,0.452,0.233495482974,71
49,0.5,0.451,0.220770288858,71
50,0.5,0.45,0.241910092706,71
51,0.5,0.449,0.226887852082,71
52,0.5,0.448,0.24430424115,71
53,0.5,0.447,0.251542393795,71
54,0.5,0.446,0.241258741259,71
55,0.5,0.445,0.233495482974,71
56,0.5,0.444,0.24299719888,71
57,0.5,0.443,0.244740532959,71
58,0.5,0.442,0.236718341752,71
59,0.5,0.441,0.24430424115,71
60,0.5,0.44,0.218674905596,71
61,0.5,0.439,0.239308779892,71
62,0.5,0.438,0.239092495637,71
63,0.5,0.437,0.23779637378,71
64,0.5,0.436,0.234997390851,71
65,0.5,0.435,0.236502960641,71
66,0.5,0.434,0.231569817866,71
67,0.5,0.433,0.236933797909,71
68,0.5,0.432,0.230076230076,71
69,0.5,0.431,0.23092926491,71
70,0.5,0.43,0.241692899615,71
71,0.5,0.429,0.233495482974,71
72,0.5,0.428,0.236287654536,71
73,0.5,0.427,0.234138710238,71
74,0.5,0.426,0.249340137251,71
75,0.5,0.425,0.248022499561,71
76,0.5,0.424,0.245395544641,71
77,0.5,0.423,0.239092495637,71
78,0.5,0.422,0.236287654536,71
79,0.5,0.421,0.261608550902,72
80,0.5,0.42,0.261166579086,72
81,0.5,0.419,0.257641921397,72
82,0.5,0.418,0.260504201681,72
83,0.5,0.417,0.263823064771,72
84,0.5,0.416,0.270513499206,72
85,0.5,0.415,0.262714836899,72
86,0.5,0.414,0.251520945594,72
87,0.5,0.413,0.261166579086,72
88,0.5,0.412,0.252391720299,72
89,0.5,0.411,0.248482746662,72
90,0.5,0.41,0.26337954027,72
91,0.5,0.409,0.251520945594,72
92,0.5,0.408,0.249783023781,72
93,0.5,0.407,0.260504201681,72
94,0.5,0.406,0.266713581985,72
95,0.5,0.405,0.249783023781,72
96,0.5,0.404,0.257422284317,72
97,0.5,0.403,0.279090424587,72
98,0.5,0.402,0.272759413116,72
99,0.5,0.401,0.262050832603,72
100,0.5,0.4,0.262050832603,72
101,0.5,0.399,0.269617351437,72
102,0.5,0.398,0.261387526279,72
103,0.5,0.397,0.26006300315,72
104,0.5,0.396,0.259401784153,72
105,0.5,0.395,0.260945709282,72
106,0.5,0.394,0.256983240223,72
107,0.5,0.393,0.253263707572,72
108,0.5,0.392,0.245028531904,72
