Generation,Min,Max,Avg,Std
0,4650,4650,4650.0,0.0
1,3773,4721,4496.54,186.075873522
2,3722,4722,4407.29,232.067009436
3,3586,4625,4302.42,248.46873185
4,3423,4593,4228.58,267.590905162
5,3005,4517,4156.0,283.825882035
6,3005,4487,4162.45,266.83787591
7,3002,4498,4154.98,293.659459892
8,3002,4419,4047.3,279.52942058
9,3002,4460,4090.7,275.781662285
10,3002,4467,4108.01,282.138926127
11,2983,4454,4081.23,314.096294023
12,2956,4420,4096.07,313.411571631
13,2956,4412,4072.41,279.95685436
14,2956,4371,4051.09,236.81421329
15,2956,4329,4002.31,272.068161951
16,2956,4411,4013.63,286.534100955
17,2858,4457,4095.51,319.428956867
18,2858,4387,4024.7,277.806432865
19,2858,4431,4055.7,272.360593569
20,2858,4398,4022.53,309.504343241
21,2858,4341,3975.22,296.189728302
22,2858,4434,4056.0,301.686438327
23,2858,4411,4053.93,287.804200242
24,2858,4360,3998.0,284.372426173
25,2858,4393,4000.3,287.634676405
26,2858,4303,3911.98,264.277554587
27,2858,4406,3991.56,287.219316477
28,2858,4275,3955.43,262.443346652
29,2858,4375,4061.0,296.574551583
30,2858,4317,3972.77,281.123031228
31,2858,4376,3985.38,281.006444442
32,2661,4258,3949.12,287.840453843
33,2661,4322,3951.16,303.257190577
34,2661,4320,4002.97,265.441901612
35,2661,4367,3979.13,330.675759131
36,2661,4343,3963.66,317.441069692
37,2661,4311,3948.59,290.970618635
38,2661,4317,3931.54,296.136448894
39,2661,4370,3925.96,357.090400234
40,2661,4249,3887.16,326.266443759
41,2661,4225,3864.26,310.936305797
42,2661,4233,3841.1,300.931869198
43,2661,4148,3816.13,287.849906701
44,2661,4285,3861.06,317.467434741
45,2661,4201,3792.52,297.874540739
46,2661,4107,3760.91,271.328683416
47,2661,4216,3870.69,268.969214377
48,2661,4147,3824.85,276.308800132
49,2661,4130,3792.0,278.321919563
50,2661,4157,3826.38,280.702142003
51,2661,4227,3819.21,308.402737316
52,2661,4157,3760.09,320.308377138
53,2661,4175,3798.06,293.937732017
54,2661,4142,3745.55,286.253062266
55,2661,4174,3786.53,290.122316768
56,2661,4135,3748.28,312.348972151
57,2661,4088,3711.65,289.529935125
58,2661,4116,3727.97,308.73843838
59,2661,4122,3647.85,310.427478966
60,2661,4036,3613.7,295.038518287
61,2661,3965,3622.59,298.030745312
62,2661,3930,3629.46,253.367199491
63,2661,3956,3593.32,260.930730388
64,2661,3953,3605.59,266.46197049
65,2590,4005,3654.21,289.008940304
66,2590,4010,3640.59,309.319425465
67,2590,3987,3635.32,309.594745864
68,2590,4010,3620.21,297.427634693
69,2590,4099,3649.51,317.554528683
70,2590,4138,3729.51,334.485568984
71,2590,4095,3677.16,317.661745009
72,2590,4086,3658.24,327.028714644
73,2590,4000,3614.83,269.940661456
74,2590,3950,3565.26,272.899345784
75,2590,3980,3594.21,270.918575676
76,2590,3879,3544.01,241.018315034
77,2590,3854,3512.34,279.17918
78,2590,3864,3514.32,265.58271667
79,2590,3792,3499.58,248.89055564
80,2590,3918,3543.34,272.300050635
81,2590,3938,3565.8,267.335260327
82,2590,3911,3513.28,240.309105659
83,2590,3915,3510.85,260.409365958
84,2590,3829,3487.98,254.522011114
85,2590,3791,3439.09,239.992638566
86,2590,3752,3381.18,249.880107817
87,2540,3774,3422.78,263.041940044
88,2495,3770,3401.42,268.560253383
89,2495,3808,3426.74,277.114373791
90,2495,3737,3380.24,248.215168958
91,2482,3761,3356.5,281.297337206
92,2482,3765,3416.56,274.972921348
93,2482,3765,3373.16,298.106947117
94,2482,3665,3336.16,263.520827766
95,2379,3620,3301.83,274.678252734
96,2379,3677,3309.55,260.659085955
97,2379,3587,3265.37,262.228316549
98,2379,3598,3261.34,245.497648367
99,2379,3633,3288.53,246.593087101
100,2379,3606,3267.64,243.049627887
101,2379,3577,3287.0,241.227877512
102,2379,3710,3371.13,243.636036503
103,2379,3664,3312.32,257.714581769
104,2379,3707,3285.37,292.849140844
105,2379,3641,3252.13,279.865214853
106,2379,3661,3275.34,285.403532146
107,2379,3638,3284.28,274.486999195
108,2379,3614,3297.5,269.262010508
109,2379,3699,3315.28,251.055995203
110,2322,3639,3272.18,246.576985335
111,2322,3581,3230.53,240.242741511
112,2322,3590,3260.53,235.678922788
113,2322,3648,3282.29,267.196946053
114,2322,3673,3340.44,274.267152811
115,2322,3568,3259.41,250.557805786
116,2322,3569,3272.14,243.367453814
117,2322,3530,3235.16,212.176490287
118,2322,3550,3240.31,240.972260233
119,2322,3476,3205.98,224.957728016
120,2322,3493,3211.2,208.308386385
121,2322,3535,3184.99,234.28168727
122,2322,3467,3159.34,198.311520064
123,2322,3421,3144.24,215.323300263
124,2322,3489,3155.64,250.790770375
125,2322,3466,3142.01,251.926255644
126,2322,3363,3066.51,249.60095405
127,2322,3400,3066.75,247.12800327
128,2322,3396,3093.47,247.354587627
129,2322,3343,3018.82,252.544240749
130,2322,3313,2983.64,260.672615603
131,2303,3256,2955.68,239.226568573
132,2303,3238,2927.07,244.166289378
133,2303,3252,2890.09,256.37449309
134,2303,3320,2946.62,258.06587445
135,2303,3269,2892.61,247.504469708
136,2297,3226,2900.8,227.750173247
137,2297,3144,2838.34,206.092027105
138,2292,3098,2816.48,211.626241905
139,2292,3232,2859.24,226.59977266
140,2292,3096,2835.1,200.722659056
141,2292,3078,2821.1,202.756783194
142,2292,3141,2864.15,189.614088414
143,2292,3051,2798.99,180.163814067
144,2292,3096,2796.36,186.568887811
145,2292,3154,2802.64,196.25321306
146,2292,3021,2735.92,182.041768989
147,2291,3081,2756.56,187.805041832
148,2274,3014,2740.33,195.56936071
149,2274,2975,2700.19,171.212945265
150,2249,3059,2735.05,191.46249336
151,2249,3045,2758.8,183.544671578
152,2249,3236,2815.84,204.356576858
153,2249,3237,2814.2,217.116456206
154,2235,3096,2762.03,192.966551506
155,2204,3110,2734.67,189.290010782
156,2204,3040,2734.0,185.378673329
157,2204,2980,2702.22,173.962412055
158,2204,2961,2695.88,168.249951146
159,2204,2956,2680.12,165.253419103
160,2204,2904,2667.94,155.180105202
161,2204,3075,2711.85,170.634607252
162,2204,3003,2703.24,161.303723804
163,2204,3218,2721.94,208.423801933
164,2204,3134,2754.64,203.603572035
165,2204,3096,2761.24,197.651214072
166,2204,2998,2702.43,185.669917549
167,2204,3013,2715.7,189.502458607
168,2204,3163,2760.57,231.99787769
169,2204,3115,2736.61,221.025109182
170,2204,3096,2776.17,195.867459567
171,2204,3248,2806.07,240.04975305
172,2204,3223,2825.07,242.336074137
173,2204,3281,2869.07,234.474234763
174,2204,3125,2789.53,205.57598094
175,2204,3197,2806.45,224.360837388
176,2204,3227,2825.26,242.146029069
177,2204,3187,2824.75,229.021254141
178,2204,3155,2795.22,213.753543535
179,2204,3072,2746.38,195.062371791
180,2204,3061,2760.86,199.308603919
181,2204,3114,2767.87,200.613989613
182,2204,3048,2773.95,194.355260211
183,2204,3243,2795.73,241.16543025
184,2204,3221,2810.19,233.704928999
185,2173,3143,2801.5,221.926710079
186,2173,3063,2760.07,206.459292586
187,2138,2983,2734.69,195.081371005
188,2138,2999,2726.66,184.606828726
189,2138,2983,2729.54,167.264045778
190,2138,2998,2751.77,173.309838443
191,2138,2983,2736.38,190.921200097
192,2138,2994,2734.05,199.379206995
193,2138,2970,2719.47,186.464796418
194,2138,2971,2728.34,176.866965927
195,2138,2925,2675.73,175.834911956
196,2138,2918,2667.93,169.794245955
197,2138,2891,2637.38,171.769388508
198,2138,2875,2641.69,174.937547009
199,2138,2847,2626.33,160.020141093
200,2138,2826,2621.33,149.957101947
